2015-08-04 14:03:09,420  INFO | main | o.s.beans.factory.xml.XmlBeanDefinitionReader           | Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/appServlet/servlet-context.xml] 
2015-08-04 14:03:09,693  INFO | main | o.s.b.f.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
2015-08-04 14:03:09,871  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/base_order/{pid}],methods=[GET],params=[],headers=[],consumes=[],produces=[application/json],custom=[]}" onto public clinsys.heo.order_service.base_order_reader.domain_objects.BaseOrder clinsys.heo.order_service.base_order_reader.contollers.BaseOrderController.getBaseOrderForPID(java.lang.String,java.util.Locale,org.springframework.ui.Model) throws java.lang.Exception 
2015-08-04 14:03:09,875  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/testerino],methods=[GET],params=[],headers=[],consumes=[],produces=[application/javascript],custom=[]}" onto public java.lang.String clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.landingPage0(java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:03:09,875  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/gen_sample_orders],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public clinsys.heo.order_service.eso_order_writer.domain_objects.ESO_Packet clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.gen_sample(java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:03:09,876  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/write_eso_orders],methods=[POST],params=[],headers=[],consumes=[],produces=[application/javascript],custom=[]}" onto public java.lang.String clinsys.heo.order_service.eso_order_writer.controllers.EsoOrdersWriterController.writeOrders(clinsys.heo.order_service.eso_order_writer.domain_objects.ESO_Packet,java.util.Locale,org.springframework.ui.Model) throws java.io.IOException,javax.xml.bind.JAXBException,java.security.KeyManagementException,java.security.NoSuchAlgorithmException,java.security.KeyStoreException 
2015-08-04 14:03:09,877  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerMapping     | Mapped "{[/],methods=[GET],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public java.lang.String clinsys.heo.order_service.HomeController.home(java.util.Locale,org.springframework.ui.Model) 
2015-08-04 14:03:10,292  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerAdapter     | Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:03:09 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:03:10,335  INFO | main | o.s.w.s.m.m.annotation.RequestMappingHandlerAdapter     | Looking for @ControllerAdvice: WebApplicationContext for namespace 'appServlet-servlet': startup date [Tue Aug 04 14:03:09 CDT 2015]; parent: Root WebApplicationContext 
2015-08-04 14:03:10,411  INFO | main | o.s.web.servlet.handler.SimpleUrlHandlerMapping         | Mapped URL path [/resources/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#0' 
